sr_no,state,district,Total_Doses,First_Dose_Administered,Second_Dose,Male,Female,Transgender
1,Andaman and Nicobar Islands,Nicobars,40218,25271,14947,21634,18581,3
2,Andaman and Nicobar Islands,North and Middle Andaman,121584,78366,43218,63474,58094,16
3,Andaman and Nicobar Islands,South Andaman,279778,185819,93959,150484,129250,44
4,Andhra Pradesh,Anantapur,3228972,2067987,1160985,1472068,1755156,1748
5,Andhra Pradesh,Chittoor,3690132,2370056,1320076,1708312,1981238,582
6,Andhra Pradesh,East Godavari,4123719,3047643,1076076,1947190,2175889,640
7,Andhra Pradesh,Guntur,3753556,2531958,1221598,1736254,2016725,577
8,Andhra Pradesh,Krishna,3721849,2487818,1234031,1743003,1978211,635
9,Andhra Pradesh,Kurnool,2901068,1949028,952040,1292352,1608296,420
10,Andhra Pradesh,Prakasam,2768576,1731924,1036652,1276842,1491340,394
11,Andhra Pradesh,S.P.S. Nellore,2760855,1738358,1022497,1290296,1470040,519
12,Andhra Pradesh,Srikakulam,2253586,1526293,727293,999302,1254049,235
13,Andhra Pradesh,Visakhapatnam,3925207,2735197,1190010,1919819,2004852,536
14,Andhra Pradesh,Vizianagaram,1839712,1240608,599104,832653,1006774,285
15,Andhra Pradesh,West Godavari,3335257,2251786,1083471,1522476,1812334,447
16,Andhra Pradesh,Y.S.R. Kadapa,2518059,1545009,973050,1141201,1376423,435
17,Arunachal Pradesh,Anjaw,17509,11539,5970,9630,7877,2
18,Arunachal Pradesh,Changlang,126458,85824,40634,70202,56242,14
19,Arunachal Pradesh,Upper Dibang Valley,6080,4091,1989,3791,2289,0
20,Arunachal Pradesh,East Kameng,35117,22519,12598,18435,16676,6
21,Arunachal Pradesh,East Siang,83562,52916,30646,42989,40555,18
22,Arunachal Pradesh,Papum Pare,168672,105753,62919,96288,72367,17
23,Arunachal Pradesh,Kamle,8940,6535,2405,5150,3790,0
24,Arunachal Pradesh,Kra Daadi,9063,6226,2837,4829,4234,0
25,Arunachal Pradesh,Kurung Kumey,13036,8935,4101,6378,6553,105
26,Arunachal Pradesh,Lepa Rada,21997,13227,8770,12372,9621,4
27,Arunachal Pradesh,Lohit,44832,30191,14641,24644,20177,11
28,Arunachal Pradesh,Longding,24490,18887,5603,15099,9391,0
29,Arunachal Pradesh,Lower Dibang Valley,47941,31760,16181,26109,21828,4
30,Arunachal Pradesh,Lower Siang,24037,16328,7709,12885,11151,1
31,Arunachal Pradesh,Lower Subansiri,41482,26466,15016,22484,18996,2
32,Arunachal Pradesh,Namsai,94686,61937,32749,50669,44013,4
33,Arunachal Pradesh,Pakke Kessang,11962,7930,4032,6282,5673,7
34,Arunachal Pradesh,Papum Pare,49908,31167,18741,29619,20280,9
35,Arunachal Pradesh,Shi Yomi,11799,6882,4917,6070,5729,0
36,Arunachal Pradesh,Siang,21314,14281,7033,11195,10112,7
37,Arunachal Pradesh,Tawang,49413,29187,20226,26692,22703,18
38,Arunachal Pradesh,Tirap,46146,31248,14898,25967,20167,12
39,Arunachal Pradesh,Upper Siang,28618,18196,10422,15216,13400,2
40,Arunachal Pradesh,Upper Subansiri,36934,24484,12450,19386,17542,6
41,Arunachal Pradesh,West Kameng,83980,54737,29243,46557,37392,31
42,Arunachal Pradesh,West Siang,57367,33498,23869,30479,26883,5
43,Assam,Baksa,614969,521779,93190,309891,304959,119
44,Assam,Barpeta,1277077,967609,309468,644021,632885,171
45,Assam,Biswanath,558898,434621,124277,278054,280764,80
46,Assam,Bongaigaon,575055,453491,121564,290828,284130,97
47,Assam,Cachar,1206594,899792,306802,628688,577756,150
48,Assam,Charaideo,361386,291939,69447,181667,179678,41
49,Assam,Chirang,341032,269728,71304,177930,163060,42
50,Assam,Darrang,653552,528015,125537,333841,319618,93
51,Assam,Dhemaji,539724,408169,131555,265398,274237,89
52,Assam,Dhubri,952641,794591,158050,485943,466582,116
53,Assam,Dibrugarh,1168530,855422,313108,590590,577789,151
54,Assam,Dima Hasao,146234,100882,45352,82620,63568,46
55,Assam,Goalpara,748927,626807,122120,374245,374544,138
56,Assam,Golaghat,864589,686506,178083,442273,422165,151
57,Assam,Hailakandi,510965,406564,104401,268246,242620,99
58,Assam,Hojai,730139,570408,159731,368452,361575,112
59,Assam,Jorhat,817477,634283,183194,412499,404856,122
60,Assam,Kamrup Metropolitan,1919933,1212132,707801,1072177,847396,360
61,Assam,Kamrup,1310507,1010597,299910,671070,639279,158
62,Assam,Karbi Anglong,292942,224915,68027,156115,136785,42
63,Assam,Karimganj,730242,586870,143372,377168,352988,86
64,Assam,Kokrajhar,599666,492119,107547,309182,290418,66
65,Assam,Lakhimpur,810047,636490,173557,404279,405649,119
66,Assam,Majuli,172879,115137,57742,88654,84209,16
67,Assam,Morigaon,684135,560712,123423,337980,346086,69
68,Assam,Nagaon,1351815,1057348,294467,668115,683509,191
69,Assam,Nalbari,564546,447322,117224,284483,279996,67
70,Assam,Sivasagar,606663,468241,138422,308011,298565,87
71,Assam,Sonitpur,1022801,729605,293196,506456,516188,157
72,Assam,South Salmara Mankachar,260580,222106,38474,136750,123799,31
