Updated On,State,Total Tested,Positive,Negative,Unconfirmed,Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases)
17-04-2020,Andaman and Nicobar Islands,1403,12,1210,181,,,,,,,,
24-04-2020,Andaman and Nicobar Islands,2679,27,,246,,,,,,,,
27-04-2020,Andaman and Nicobar Islands,2848,33,,106,,,,,,,,
01-05-2020,Andaman and Nicobar Islands,3754,33,,199,,,,,,,,
16-05-2020,Andaman and Nicobar Islands,6677,33,,136,,,,,,,,
19-05-2020,Andaman and Nicobar Islands,6965,33,,117,,,,,,,,
20-05-2020,Andaman and Nicobar Islands,7082,33,,117,,,,,,,,
21-05-2020,Andaman and Nicobar Islands,7167,33,,85,,,,,,,,
22-05-2020,Andaman and Nicobar Islands,7263,33,,96,,,,,,,,
23-05-2020,Andaman and Nicobar Islands,7327,33,,61,,,,,,,,
24-05-2020,Andaman and Nicobar Islands,7327,33,,0,,,,,,,,
25-05-2020,Andaman and Nicobar Islands,7363,33,,34,,,,,,,,
26-05-2020,Andaman and Nicobar Islands,7448,33,,84,,,,,,,,
27-05-2020,Andaman and Nicobar Islands,7499,33,,51,,,,,,,,
28-05-2020,Andaman and Nicobar Islands,7519,33,,19,,,,,,,,
29-05-2020,Andaman and Nicobar Islands,7567,33,,48,,,,,,,,
30-05-2020,Andaman and Nicobar Islands,7567,33,,129,,,,,,,,
31-05-2020,Andaman and Nicobar Islands,7706,33,,0,,,,,,,,
01-06-2020,Andaman and Nicobar Islands,7805,33,,99,,,,,,,,
02-06-2020,Andaman and Nicobar Islands,8086,33,,274,,,,,,,,
03-06-2020,Andaman and Nicobar Islands,8295,33,,208,,,,,,,,
04-06-2020,Andaman and Nicobar Islands,8413,33,,118,,,,,,,,
05-06-2020,Andaman and Nicobar Islands,8694,33,,281,,,,,,,,
06-06-2020,Andaman and Nicobar Islands,9037,33,,343,,,,,,,,
07-06-2020,Andaman and Nicobar Islands,9242,33,,404,,,,,,,,
08-06-2020,Andaman and Nicobar Islands,9341,33,,279,,,,,,,,
09-06-2020,Andaman and Nicobar Islands,9859,33,,531,,,,,,,,
10-06-2020,Andaman and Nicobar Islands,10010,35,,382,,,,,,,,
11-06-2020,Andaman and Nicobar Islands,10226,38,,294,,,,,,,,
12-06-2020,Andaman and Nicobar Islands,10697,38,,556,,,,,,,,
13-06-2020,Andaman and Nicobar Islands,10955,38,,814,,,,,,,,
14-06-2020,Andaman and Nicobar Islands,11356,38,,1040,,,,,,,,
15-06-2020,Andaman and Nicobar Islands,11518,41,,579,,,,,,,,
16-06-2020,Andaman and Nicobar Islands,11809,44,,719,,,,,,,,
17-06-2020,Andaman and Nicobar Islands,12239,44,,383,,,,,,,,
18-06-2020,Andaman and Nicobar Islands,12622,45,,350,,,,,,,,
19-06-2020,Andaman and Nicobar Islands,12930,47,,306,,,,,,,,
20-06-2020,Andaman and Nicobar Islands,13320,47,,372,,,,,,,,
21-06-2020,Andaman and Nicobar Islands,13434,48,,437,,,,,,,,
22-06-2020,Andaman and Nicobar Islands,13511,48,,71,,,,,,,,
23-06-2020,Andaman and Nicobar Islands,13723,50,,188,,,,,,,,
